species,hmm_name,protein_id,evalue,score
Drosophila_melanogaster,ND2_PF00361,FBpp0390633,1.6e-77,261.4
Drosophila_melanogaster,ND2_PF00361,FBpp0100175,2.4e-47,162.3
Drosophila_melanogaster,ND2_PF06444,FBpp0100175,1.7e-14,54.7
Drosophila_melanogaster,ND3_PF00507,FBpp0100181,7.3e-28,97.4
Drosophila_melanogaster,ND4L_PF00420,FBpp0100184,6.1e-18,65.1
Drosophila_melanogaster,ND4_PF00361,FBpp0390632,9.9e-80,268.6
Drosophila_melanogaster,ND4_PF00361,FBpp0390633,1.6e-77,261.4
Drosophila_melanogaster,ND4_PF00361,FBpp0100175,2.4e-47,162.3
Drosophila_melanogaster,ND4_PF01059,FBpp0390632,2e-24,86.5
Drosophila_melanogaster,ND5_PF00361,FBpp0390632,9.9e-80,268.6
Drosophila_melanogaster,ND5_PF00361,FBpp0390633,1.6e-77,261.4
Drosophila_melanogaster,ND5_PF00361,FBpp0100175,2.4e-47,162.3
Drosophila_melanogaster,ND5_PF00662,FBpp0390633,2.6e-10,40.8
Drosophila_melanogaster,ND5_PF06455,FBpp0390633,7.9e-62,208.8
Drosophila_melanogaster,ND6_PF00499,FBpp0100185,3.7e-09,37.2
Harpegnathos_saltator,COX2_PF00119,XP_025159989.1,3.5e-33,115.8
Harpegnathos_saltator,ND2_PF00361,XP_025159988.1,4.8e-57,193.9
Harpegnathos_saltator,ND2_PF00361,XP_025159987.1,2.7e-54,184.9
Harpegnathos_saltator,ND4_PF00361,XP_025159988.1,4.8e-57,193.9
Harpegnathos_saltator,ND4_PF00361,XP_025159987.1,2.7e-54,184.9
Harpegnathos_saltator,ND5_PF00361,XP_025159988.1,4.8e-57,193.9
Harpegnathos_saltator,ND5_PF00361,XP_025159987.1,2.7e-54,184.9
Harpegnathos_saltator,ND5_PF00662,XP_025159987.1,7.5e-09,35.9
